name score
marquard 1.0
kossa 0.0
gianandrea 1.0
avani 0.0
childs 1.0
urthboy 1.0
childe 1.0
myriem 0.0
xuyen 0.0
omolara 0.0
rayshawn 1.0
umananda 1.0
iggie 1.0
inwood 1.0
sihabetdin 1.0
quarteto 0.0
karisma 0.0
redzuan 1.0
kosta 1.0
motiur 1.0
osgar 1.0
baltej 1.0
tetsumasa 1.0
adriaan 1.0
winarti 0.0
nnenna 0.0
lalchand 1.0
2 1.0
avhiroop 1.0
bystrik 1.0
6 1.0
7 1.0
8 1.0
kosse 1.0
kossi 1.0
bendeniz 0.0
sisir 1.0
aushim 1.0
timba 1.0
iriome 1.0
knowlton 1.0
moges 1.0
aushik 1.0
ngouba 1.0
itzuki 0.0
aysegul 0.0
timbe 1.0
dilendra 1.0
myrick 1.0
tarekeniwal 1.0
bekzat 1.0
shalheveth 1.0
kosti 1.0
flip 0.9166666666666666
chiarissimo 1.0
myrteza 1.0
a 0.84
marvyn 1.0
b 0.6
c 0.8571428571428571
garland 0.9583333333333334
d 0.8888888888888888
e 0.75
f 1.0
g 1.0
h 1.0
i 0.9375
shoaib 1.0
j 0.9767441860465116
k 0.8
l 0.8333333333333334
neapope 1.0
m 1.0
n 1.0
o 0.6363636363636364
nikhilesh 1.0
avard 1.0
p 0.9523809523809523
q 0.3333333333333333
timbo 1.0
r 0.9473684210526315
munuza 1.0
s 1.0
shahriyar 1.0
t 0.9523809523809523
u 1.0
dasharathadeva 1.0
v 0.75
alfenus 1.0
w 1.0
gunthild 1.0
vykintas 1.0
x 1.0
y 0.7142857142857143
z 0.6666666666666666
adrian 0.9923664122137404
swerting 1.0
piraeus 1.0
piersanti 1.0
dilyana 0.0
glendon 1.0
muscal 1.0
yuryi 1.0
bijukuttan 1.0
myrian 0.0
sisco 1.0
myriam 0.0
mondher 1.0
selvaraghavan 1.0
donnavan 1.0
syksey 1.0
sirichok 1.0
ahzee 1.0
caughey 1.0
tsokye 0.5
tynisha 0.0
fuadi 1.0
etheldred 0.0
adriaen 1.0
injimo 1.0
haseki 1.0
juozas 1.0
herkie 1.0
vajramuni 1.0
welthy 0.0
lebert 1.0
panayiota 0.0
kleophrades 1.0
neyyattinkara 1.0
jeanne 0.0
shazia 0.0
jeanna 0.0
elmon 1.0
bartatua 1.0
remee 1.0
shazie 1.0
allectus 1.0
salama 0.75
offo 1.0
gundemaro 1.0
knolly 1.0
eugie 0.0
rayshaun 1.0
salami 1.0
fata-a-iki 1.0
hasely 1.0
mbadi 1.0
aloisius 1.0
salamo 1.0
schuster 1.0
offa 1.0
aththintha 1.0
mandiaye 1.0
vindicianus 1.0
tufele 1.0
kasimir 1.0
karissa 0.0
jeanny 0.0
frederika 0.0
ofer 1.0
sarveshwar 1.0
remco 1.0
manjit 0.8
euphorion 1.0
clemilda 0.0
augustinos 1.0
sefyu 1.0
azmyl 1.0
khuwyptah 1.0
bercthun 1.0
adriel 0.8
adrien 0.9775280898876404
srul 1.0
muktesh 1.0
amarinder 1.0
skjalm 1.0
emmons 1.0
remko 1.0
priscilla 0.0
rezija 0.0
chilly 1.0
isolina 0.0
livilla 0.0
ketayun 0.0
dummy 1.0
ruwaym 1.0
vavasor 1.0
rahotep 1.0
monikura 1.0
harnett 1.0
flor 0.4782608695652174
puthussery 1.0
flos 0.0
qayyoma 1.0
priscillo 1.0
sutardji 1.0
salakh 1.0
rajyashree 0.0
einion 1.0
farnaz 0.0
seekkuge 1.0
floe 0.0
timil 1.0
karabo 0.0
bharathidasan 1.0
evaristo 1.0
floriano 1.0
riyoko 0.0
kuakini 1.0
blasko 1.0
premiata 1.0
jozef 1.0
sisqo 1.0
tereza 0.0
remie 1.0
mohabat 1.0
pranlal 1.0
pamfil 1.0
krayton 1.0
seger 1.0
kinvara 0.0
evariste 1.0
onufri 1.0
colombina 0.0
remig 1.0
k-ske 1.0
timir 1.0
lejaren 1.0
dumpa 0.0
yusef 1.0
onufry 1.0
yusei 1.0
gaylon 0.8333333333333334
